Location name,Location ID
Mansarovar- Jaipur [Offline],113
Shahabganj - Chandauli,283
Bhairav Talab - Varanasi [Offline],270
Vikas Nagar- Lucknow [Offline],247
Birhana Road- Kanpur [Offline],244
Bank Colony- Sasaram,384
Anegundi-Koppal,577
Nerul- Goa,401
Nawadih-Giridih,630
Kamkampalli- Anantpur [Offline],341
Isri Bazar-Giridih,627
Oriya-Hazaribagh,662
Harladih-Giridih,626
Bagh Farahat Afza Bhopal,584
Samariya-Bahraich [Offline],687
Prem Nagar Jhansi,537
Patel Nagar Fatehpur [Offline],558
Shahganj-Faizabad [Offline],544
Housila Nagar Faizabad,546
Mau Ranipur-Jhansi,536
Sharda Nagar Faizabad,545
Dhanoli Agra,520
Sai-Fatehpur,561
Awas Vikas Colony Fatehpur [Offline],556
Kevai-Fatehpur,555
Harsinghpur-Fatehpur [Offline],554
Bag Kala Lan Saharanpur [Offline],527
Chirgaon-Jhansi [Offline],540
Vinod Vihar Colony Saharanpur [Offline],522
Mahawan-Faizabad,543
Gohaibari Guwahati,506
Taj East Gate Road Agra [Offline],516
Milkipur-Faizabad,542
ASEB Campus Guwahati,497
Ulubari Guwahati,505
Mandir Marg Gopeshwar [Offline],509
Jungle Chatti-Chamoli [Offline],488
Agarchitti-Chamoli [Offline],487
Jhinjhoni-Chamoli,508
Santacruz- Mumbai [Offline],287
Vaishali Nagar- Jaipur [Offline],369
Sector 56- Gurgaon [Offline],134
Razole Village,437
Anjad- Barwani [Offline],314
Chakia- Chandauli [Offline],285
Mohipura - Barwani [Offline],316
Samneghat- Varanasi [Offline],288
Bhupauli-Chandauli [Offline],278
Dhaneja- Chandauli [Offline],284
Sarang Talab - Varanasi [Offline],289
VV Puram - Bengaluru [Offline],323
Sanjay Nagar- Chandauli City [Offline],282
Shivpur-Varanasi [Offline],276
Jayapur- Varanasi [Offline],275
Sundarpur - Varanasi [Offline],290
Pandeypur- Varanasi [Offline],273
Vanaparty -Warangal [Offline],336
Narapally - Hyderabad,388
Sarnath - Varanasi [Offline],272
Waddicherla -Warangal [Offline],335
Industrial Phase 1- Chandigarh,267
Swaroop Nagar - Kanpur [Offline],240
Shastri Nagar-Kanpur [Offline],246
Sahadatganj Faizabad,547
